striker,match_id,innings,runs_off_bat,4s,6s
RA Jadeja,6,5,109,9,6
F du Plessis,6,6,270,27,9
RD Gaikwad,6,6,192,24,5
SK Raina,6,5,121,9,8
MM Ali,5,5,148,17,7
SM Curran,6,3,52,5,3
AT Rayudu,6,4,64,2,6
MS Dhoni,6,4,37,4,1
SN Thakur,6,1,1,0,0
DJ Bravo,4,1,20,2,1
DL Chahar,6,1,0,0,0
Imran Tahir,1,0,0,0,0
L Ngidi,2,0,0,0,0
SO Hetmyer,5,5,68,4,4
Lalit Yadav,4,3,54,6,0
S Dhawan,7,7,311,37,6
RR Pant,7,7,199,24,3
PP Shaw,7,7,269,34,9
SPD Smith,5,4,80,8,1
MP Stoinis,7,6,71,10,1
TK Curran,2,1,21,2,0
AM Rahane,2,1,8,1,0
R Ashwin,5,1,7,1,0
CR Woakes,3,1,15,2,0
K Rabada,6,1,9,1,0
Avesh Khan,7,0,0,0,0
LI Meriwala,1,0,0,0,0
A Mishra,4,0,0,0,0
AR Patel,3,0,0,0,0
I Sharma,2,0,0,0,0
PJ Cummins,7,5,93,5,8
KD Karthik,7,7,123,13,4
N Rana,7,7,201,21,9
AD Russell,7,7,163,12,13
RA Tripathi,7,7,187,21,4
Shubman Gill,7,7,132,14,5
EJG Morgan,7,7,92,7,4
Shakib Al Hasan,3,3,38,2,1
Shivam Mavi,3,1,5,1,0
SP Narine,4,4,10,2,0
CV Varun,7,2,2,0,0
KL Nagarkoti,1,1,0,0,0
M Prasidh Krishna,7,2,0,0,0
Harbhajan Singh,3,2,4,0,0
CA Lynn,1,1,49,4,3
RG Sharma,6,6,215,14,10
Q de Kock,5,5,117,11,2
SA Yadav,6,6,170,22,5
KA Pollard,6,6,81,5,5
J Yadav,3,2,23,1,0
Ishan Kishan,5,5,73,3,2
KH Pandya,6,6,68,6,2
HH Pandya,6,5,36,5,0
RD Chahar,6,3,14,1,0
JJ Bumrah,6,3,4,0,0
M Jansen,2,2,0,0,0
TA Boult,6,2,1,0,0
NM Coulter0Nile,1,0,0,0,0
AF Milne,1,0,0,0,0
KL Rahul,7,7,331,27,16
CJ Jordan,2,1,30,1,3
CH Gayle,7,7,165,19,7
MA Agarwal,6,6,161,16,7
M Shahrukh Khan,7,6,103,7,6
DJ Hooda,7,6,115,7,8
Mohammed Shami,7,3,13,0,0
MC Henriques,3,2,16,0,0
M Ashwin,3,2,15,1,0
JA Richardson,3,2,15,2,0
Prabhsimran Singh,1,1,7,1,0
FA Allen,2,1,6,0,0
N Pooran,7,6,28,2,1
Ravi Bishnoi,3,1,1,0,0
Harpreet Brar,1,1,25,1,2
Arshdeep Singh,6,2,2,0,0
RP Meredith,4,1,0,0,0
Jalaj S Saxena,1,0,0,0,0
SV Samson,6,6,229,22,9
JD Unadkat,4,2,35,2,2
DA Miller,5,5,95,11,2
YBK Jaiswal,2,2,54,7,2
S Dube,6,6,145,14,5
CH Morris,6,4,48,0,5
JC Buttler,6,6,130,16,5
R Tewatia,6,5,86,6,4
R Parag,6,5,63,6,3
M Vohra,4,4,42,5,2
C Sakariya,6,2,0,0,0
BA Stokes,1,1,0,0,0
S Gopal,2,1,7,0,1
Mustafizur Rahman,6,2,0,0,0
AB de Villiers,7,6,207,16,10
D Padikkal,6,6,195,22,9
GJ Maxwell,7,6,223,21,10
V Kohli,7,7,198,21,4
KA Jamieson,7,5,59,5,3
RM Patidar,4,4,71,3,3
HV Patel,7,4,35,3,2
Washington Sundar,6,4,31,2,0
Shahbaz Ahmed,5,3,23,1,1
DR Sams,2,2,6,0,0
NA Saini,1,1,2,0,0
DT Christian,3,3,3,0,0
Mohammed Siraj,7,3,12,0,1
YS Chahal,7,1,8,0,0
KW Richardson,1,0,0,0,0
MK Pandey,4,4,162,9,6
JM Bairstow,6,6,218,16,14
DA Warner,6,6,193,15,6
KM Jadhav,3,2,21,2,1
Mohammad Nabi,1,1,14,2,0
Abdul Samad,3,3,26,1,2
V Shankar,6,4,50,0,3
Virat Singh,3,2,15,1,0
Rashid Khan,6,3,17,1,1
WP Saha,2,2,8,0,1
JO Holder,1,1,4,0,0
Abhishek Sharma,3,2,7,0,0
B Kumar,4,2,3,0,0
KK Ahmed,4,1,1,0,0
S Nadeem,1,1,0,0,0
KS Williamson,3,3,108,12,1
J Suchith,2,1,14,2,1
Mujeeb Ur Rahman,1,1,1,0,0
T Natarajan,2,1,0,0,0
S Kaul,3,0,0,0,0
Sandeep Sharma,2,0,0,0,0
