bowler,match_id,innings,overs,runs_off_bat,Econ,,,,
Imran Tahir,1,1,4,16,4,,,,
RA Jadeja,6,6,21,132,6.28,,,,
MM Ali,5,4,11,73,6.63,,,,
DJ Bravo,4,4,11,85,7.72,,,,
DL Chahar,6,6,20,156,7.8,,,,
L Ngidi,2,2,8,63,7.87,,,,
SM Curran,6,6,21,183,8.71,,,,
SN Thakur,6,6,21.5,211,9.66,,,,
MS Dhoni,6,0,0,0,0,,,,
F du Plessis,6,0,0,0,0,,,,
RD Gaikwad,6,0,0,0,0,,,,
SK Raina,6,0,0,0,0,,,,
AT Rayudu,6,0,0,0,0,,,,
Lalit Yadav,4,3,8,41,5.12,,,,
Avesh Khan,7,7,26,192,7.38,,,,
CR Woakes,3,3,11,82,7.45,,,,
I Sharma,2,2,8,60,7.5,,,,
AR Patel,3,3,12,91,7.58,,,,
R Ashwin,5,5,19,147,7.73,,,,
A Mishra,4,4,14,109,7.78,,,,
K Rabada,6,6,22,192,8.72,,,,
TK Curran,2,2,7.4,75,9.78,,,,
LI Meriwala,1,1,3,32,10.66,,,,
MP Stoinis,7,6,9,103,11.44,,,,
S Dhawan,7,0,0,0,0,,,,
SO Hetmyer,5,0,0,0,0,,,,
RR Pant,7,0,0,0,0,,,,
AM Rahane,2,0,0,0,0,,,,
PP Shaw,7,0,0,0,0,,,,
SPD Smith,5,0,0,0,0,,,,
Shivam Mavi,3,3,9,57,6.33,,,,
SP Narine,4,4,16,112,7,,,,
CV Varun,7,7,28,219,7.82,,,,
Shakib Al Hasan,3,3,10,81,8.1,,,,
PJ Cummins,7,7,26.5,237,8.83,,,,
Harbhajan Singh,3,3,7,63,9,,,,
M Prasidh Krishna,7,7,26.3,243,9.16,,,,
AD Russell,7,5,10,114,11.4,,,,
KL Nagarkoti,1,1,2,25,12.5,,,,
KD Karthik,7,0,0,0,0,,,,
EJG Morgan,7,0,0,0,0,,,,
N Rana,7,0,0,0,0,,,,
Shubman Gill,7,0,0,0,0,,,,
RA Tripathi,7,0,0,0,0,,,,
JJ Bumrah,6,6,23,136,5.91,,,,
RD Chahar,6,6,24,170,7.08,,,,
J Yadav,3,3,11,82,7.45,,,,
M Jansen,2,2,6,45,7.5,,,,
KH Pandya,6,6,17,128,7.52,,,,
TA Boult,6,6,22.2,181,8.1,,,,
KA Pollard,6,4,5.1,42,8.12,,,,
NM Coulter0Nile,1,1,4,35,8.75,,,,
RG Sharma,6,1,1,9,9,,,,
AF Milne,1,1,3,33,11,,,,
Q de Kock,5,0,0,0,0,,,,
Ishan Kishan,5,0,0,0,0,,,,
CA Lynn,1,0,0,0,0,,,,
HH Pandya,6,0,0,0,0,,,,
SA Yadav,6,0,0,0,0,,,,
Ravi Bishnoi,3,3,12,57,4.75,,,,
Harpreet Brar,1,1,4,19,4.75,,,,
MC Henriques,3,3,5,24,4.8,,,,
DJ Hooda,7,5,12,88,7.33,,,,
FA Allen,2,2,7,52,7.42,,,,
Mohammed Shami,7,7,25.4,197,7.67,,,,
CJ Jordan,2,2,7,55,7.85,,,,
Arshdeep Singh,6,6,18.2,150,8.18,,,,
M Ashwin,3,3,11,97,8.81,,,,
Jalaj S Saxena,1,1,3,27,9,,,,
RP Meredith,4,4,13.2,134,10.05,,,,
JA Richardson,3,3,11,117,10.63,,,,
MA Agarwal,6,0,0,0,0,,,,
CH Gayle,7,0,0,0,0,,,,
N Pooran,7,0,0,0,0,,,,
Prabhsimran Singh,1,0,0,0,0,,,,
KL Rahul,7,0,0,0,0,,,,
M Shahrukh Khan,7,0,0,0,0,,,,
JD Unadkat,4,4,16,113,7.06,,,,
C Sakariya,6,6,23,184,8,,,,
CH Morris,6,6,22,195,8.86,,,,
Mustafizur Rahman,6,6,23,204,8.86,,,,
R Tewatia,6,6,16,150,9.37,,,,
S Dube,6,3,3,31,10.33,,,,
R Parag,6,4,5,53,10.6,,,,
BA Stokes,1,1,1,12,12,,,,
S Gopal,2,2,6,75,12.5,,,,
JC Buttler,6,0,0,0,0,,,,
YBK Jaiswal,2,0,0,0,0,,,,
DA Miller,5,0,0,0,0,,,,
SV Samson,6,0,0,0,0,,,,
M Vohra,4,0,0,0,0,,,,
Shahbaz Ahmed,5,3,5,32,6.4,,,,
DR Sams,2,2,6,39,6.5,,,,
Mohammed Siraj,7,7,26,191,7.34,,,,
Washington Sundar,6,6,16,118,7.37,,,,
DT Christian,3,3,5,40,8,,,,
YS Chahal,7,7,23,190,8.26,138,499,670,1.342685371
HV Patel,7,7,28,257,9.17,,,,
KA Jamieson,7,7,24,221,9.2,,,,
KW Richardson,1,1,3,29,9.66,,,,
GJ Maxwell,7,1,2,24,12,,,,
NA Saini,1,1,2,27,13.5,,,,
AB de Villiers,7,0,0,0,0,,,,
V Kohli,7,0,0,0,0,,,,
D Padikkal,6,0,0,0,0,,,,
RM Patidar,4,0,0,0,0,,,,
Rashid Khan,6,6,24,148,6.16,,,,
Abhishek Sharma,3,3,6,43,7.16,,,,
V Shankar,6,4,8,58,7.25,,,,
Mujeeb Ur Rahman,1,1,4,29,7.25,,,,
JO Holder,1,1,4,30,7.5,,,,
KK Ahmed,4,4,16,123,7.68,,,,
S Kaul,3,3,11.4,90,7.71,,,,
Mohammad Nabi,1,1,4,32,8,,,,
